Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Eco Plus
58,2890.5,3,4,3,1,4,4,5,5,5,3,5,4,5,3,50,0.0,0,False,False,True,True,False
65,5698.5,5,5,5,5,4,5,4,4,4,5,4,5,4,5,58,0.0,1,False,False,False,False,False
75,918.0,4,4,4,4,2,4,5,5,5,5,5,5,5,5,71,49.0,1,True,False,False,False,False
58,2155.5,3,4,3,4,2,3,2,2,4,2,4,4,5,2,50,0.0,0,True,False,True,True,False
70,453.0,1,2,4,3,4,4,4,4,1,3,2,4,3,4,50,0.0,0,True,False,True,True,False
40,2142.0,4,4,4,4,4,4,4,4,1,5,3,1,5,4,50,0.0,1,True,False,False,False,False
45,792.0,4,3,5,3,2,5,2,2,3,2,3,4,4,2,50,0.0,0,False,True,False,True,False
77,1065.0,3,5,3,4,2,3,2,2,3,5,5,4,4,2,50,0.0,0,True,False,True,True,False
39,5520.0,4,1,4,4,2,2,2,2,5,5,5,5,4,2,50,0.0,1,True,False,False,False,False
37,2281.5,4,1,1,1,4,4,4,4,1,4,1,1,5,4,53,13.0,1,False,False,False,True,False
59,2314.5,3,5,3,3,5,4,5,5,5,5,5,5,5,5,50,0.0,1,True,False,False,False,False
66,352.5,4,3,3,3,4,4,4,4,3,2,3,3,4,4,50,0.0,0,True,False,False,True,False
58,1852.5,1,5,1,1,1,1,4,3,3,1,5,4,3,5,50,0.0,0,True,False,True,False,False
71,462.0,2,3,3,3,5,2,5,2,2,2,2,2,2,2,50,0.0,1,False,False,False,True,False
56,936.0,2,3,2,4,5,2,5,5,4,3,3,1,4,5,50,0.0,0,True,True,False,True,False
37,2769.0,4,5,4,4,5,4,5,5,5,4,4,4,4,5,90,68.0,0,True,False,True,True,False
68,288.0,5,2,2,2,3,4,2,5,5,5,5,2,5,4,50,1.0,1,False,False,False,True,False
27,1011.0,3,4,3,1,1,3,1,1,3,3,5,4,4,1,130,70.0,0,True,False,True,True,False
54,555.0,3,3,3,3,2,4,5,4,4,4,4,4,4,5,60,12.0,1,False,False,False,False,False
70,4753.5,1,1,1,1,3,5,4,5,5,5,5,3,5,5,123,68.0,1,False,False,False,False,False
47,1203.0,4,4,4,2,2,4,4,2,4,2,4,3,5,2,50,10.0,0,False,True,False,False,False
55,942.0,1,4,1,3,5,1,5,5,3,2,5,5,4,5,54,0.0,0,False,False,True,True,False
57,559.5,3,3,3,5,4,3,4,4,3,2,5,5,5,4,50,0.0,0,False,True,False,False,False
39,1087.5,4,4,4,2,2,4,2,2,4,2,3,1,5,2,50,4.0,1,True,True,False,True,False
37,415.5,3,3,3,3,3,3,3,1,5,4,3,3,2,3,166,177.0,0,True,False,False,False,False
43,1536.0,1,1,1,1,4,4,4,4,5,3,5,5,4,4,50,3.0,1,False,False,False,False,False
51,400.5,2,3,3,3,2,2,2,2,1,1,3,4,4,2,109,55.0,0,False,False,False,False,True
77,825.0,5,1,1,1,4,2,1,5,5,5,5,5,5,2,142,90.0,1,False,False,False,True,False
75,2833.5,2,2,3,2,3,5,4,5,5,5,5,5,5,3,50,0.0,1,False,False,False,False,False
74,690.0,2,5,2,5,3,3,4,5,5,2,4,1,5,2,54,2.0,0,False,False,True,True,False
64,4942.5,4,4,3,4,2,5,4,5,5,5,5,5,5,3,50,4.0,1,False,False,False,False,False
59,1807.5,2,4,2,3,4,4,3,4,4,2,4,2,4,2,50,0.0,0,False,False,True,True,False
73,1485.0,3,5,2,3,3,4,5,1,1,2,1,5,1,3,50,0.0,0,False,False,True,False,True
39,666.0,4,0,4,2,2,4,2,2,5,3,5,3,5,2,70,32.0,1,True,True,False,False,False
68,780.0,4,2,2,2,3,3,4,4,4,4,4,3,4,3,67,0.0,1,False,False,False,True,False
71,481.5,2,3,4,3,2,2,2,2,2,5,3,3,3,2,50,0.0,0,True,False,False,True,False
45,976.5,3,3,4,3,5,5,5,5,4,5,4,3,5,5,50,0.0,1,False,False,False,False,False
42,1146.0,3,3,3,2,2,3,2,2,2,1,3,3,2,2,80,46.0,0,True,True,False,False,False
42,849.0,3,3,3,3,5,5,5,5,4,3,1,1,1,5,50,0.0,1,True,False,False,False,False
82,939.0,3,4,3,1,2,4,5,3,3,3,3,3,3,5,50,0.0,0,False,False,True,True,False
47,195.0,3,0,3,3,4,3,5,4,2,2,4,5,3,4,53,4.0,0,False,False,True,True,False
51,496.5,2,0,2,1,1,2,1,1,4,3,4,1,3,1,50,0.0,0,True,True,False,True,False
59,237.0,3,3,3,3,5,4,5,4,4,5,4,4,4,5,116,57.0,1,True,False,False,False,False
85,2743.5,1,4,1,1,2,5,5,5,5,1,5,4,5,3,50,0.0,0,False,False,True,True,False
70,969.0,3,2,3,4,4,3,4,5,5,3,5,4,5,3,50,3.0,0,False,False,True,True,False
81,606.0,4,1,1,1,4,4,4,4,3,1,3,2,5,4,59,6.0,1,True,False,False,True,False
34,4107.0,5,5,5,5,3,4,3,3,5,3,3,1,2,3,50,0.0,1,False,False,False,False,False
68,1446.0,1,5,1,2,4,4,5,4,4,1,4,5,4,4,56,0.0,0,False,False,True,False,True
37,2490.0,2,2,2,2,2,2,2,2,4,3,2,2,4,2,50,0.0,0,True,False,False,False,False
84,1308.0,2,3,2,2,4,2,3,5,5,2,5,3,5,3,64,0.0,0,False,False,True,True,False
57,2847.0,5,5,5,5,5,4,4,5,5,5,5,4,5,3,99,47.0,1,False,False,False,False,False
56,1450.5,2,2,2,2,2,3,5,4,4,4,4,5,4,5,94,40.0,1,False,False,False,False,False
68,1863.0,3,4,3,5,3,3,5,1,1,3,1,4,1,4,53,0.0,0,False,False,True,False,False
50,1563.0,3,2,2,2,2,4,3,3,3,3,3,3,3,2,50,0.0,0,True,False,False,False,False
69,229.5,3,5,3,5,2,4,5,2,2,3,2,4,2,5,50,0.0,0,False,False,True,False,False
59,549.0,3,3,2,3,2,5,4,4,4,4,4,3,4,4,55,24.0,1,True,False,False,False,False
41,1369.5,1,2,2,2,4,2,3,4,3,2,1,1,4,4,50,0.0,0,False,True,False,False,True
59,792.0,2,5,2,3,2,5,4,5,5,2,5,3,5,3,50,0.0,0,False,False,True,True,False
39,1758.0,2,3,3,2,5,3,5,5,4,5,5,4,5,5,78,27.0,0,False,True,False,True,False
69,1498.5,2,4,2,4,4,5,5,5,5,2,5,5,5,4,50,0.0,0,False,False,True,True,False
57,733.5,2,2,2,2,2,2,2,2,4,3,3,1,2,2,50,0.0,0,True,False,False,False,True
51,1038.0,1,1,1,4,1,1,1,1,1,5,3,1,2,1,50,0.0,0,True,True,False,True,False
76,2377.5,2,2,3,2,1,1,5,3,3,4,3,4,3,4,74,20.0,1,False,False,False,False,False
65,210.0,2,4,2,4,4,4,5,2,2,2,2,3,2,5,50,0.0,0,False,False,True,True,False
42,4093.5,3,3,3,3,5,5,5,5,4,4,4,5,2,5,94,52.0,1,True,False,False,False,False
70,2100.0,3,5,5,5,4,3,2,3,3,3,3,1,3,4,51,0.0,0,True,False,False,False,False
36,670.5,2,2,1,4,1,1,1,1,4,4,3,4,3,1,57,0.0,0,True,True,False,True,False
46,501.0,2,1,2,4,5,2,5,5,2,4,3,2,4,5,55,0.0,0,False,False,True,False,False
52,237.0,1,2,1,3,1,1,1,1,1,4,3,4,3,1,74,20.0,0,False,True,False,True,False
65,5544.0,1,1,5,1,2,4,4,5,5,5,5,4,5,5,59,0.0,1,False,False,False,False,False
36,1269.0,1,4,1,3,3,1,3,3,5,4,5,4,5,3,59,17.0,0,False,False,True,True,False
68,493.5,1,0,0,3,1,3,3,4,4,1,4,4,4,1,50,0.0,0,False,False,False,True,False
60,3870.0,3,3,3,3,3,4,4,5,5,5,5,3,5,4,50,11.0,1,True,False,False,False,False
57,126.0,3,5,3,1,5,3,5,5,5,5,3,5,4,5,50,34.0,0,False,True,False,True,False
74,5037.0,3,3,3,3,3,5,4,4,4,4,4,4,4,3,50,0.0,1,True,False,False,False,False
69,462.0,2,1,4,4,5,3,3,2,2,2,2,4,2,1,133,95.0,0,False,False,False,True,False
61,1368.0,1,1,1,1,2,4,4,4,4,4,4,5,4,4,55,0.0,1,False,False,False,False,False
67,609.0,3,4,3,1,2,5,4,2,2,3,2,3,2,4,50,0.0,0,False,False,True,False,True
53,595.5,2,5,2,2,5,2,5,5,5,4,4,5,5,5,50,0.0,0,False,False,True,True,False
50,3613.5,3,3,3,3,1,4,3,4,4,4,4,3,4,3,50,0.0,1,True,False,False,False,False
56,817.5,2,2,2,3,4,2,4,4,1,3,4,1,4,4,50,0.0,0,False,False,True,True,False
55,3628.5,2,2,2,3,4,2,4,4,3,2,3,3,5,4,50,0.0,0,False,True,False,False,False
51,1591.5,2,2,2,1,4,2,4,4,1,4,2,4,2,4,63,0.0,0,False,True,False,True,False
82,1348.5,2,5,2,2,2,2,2,2,5,2,4,5,5,2,50,0.0,0,True,False,True,True,False
53,439.5,4,4,4,4,5,4,5,5,2,2,4,4,4,5,55,0.0,1,False,False,True,True,False
65,1627.5,3,5,3,2,5,5,5,5,5,3,5,3,5,4,50,0.0,0,False,False,True,True,False
65,3712.5,5,5,5,5,2,5,4,2,2,2,2,3,2,5,50,0.0,1,True,False,False,False,False
69,3816.0,5,5,3,5,5,4,5,3,3,3,3,4,3,5,112,66.0,1,True,False,False,False,False
71,3834.0,4,4,4,4,4,5,4,4,4,4,4,3,4,5,167,113.0,1,True,False,False,False,False
53,355.5,3,4,3,4,2,3,2,2,3,3,4,4,3,2,50,2.0,0,True,False,True,True,False
22,1680.0,3,5,3,3,2,3,2,2,4,4,4,5,5,2,66,13.0,0,False,False,True,True,False
47,4002.0,5,5,4,5,4,4,4,4,5,2,5,5,5,4,52,0.0,1,False,False,False,False,False
60,2490.0,4,1,1,1,4,4,4,4,2,5,2,4,3,4,50,7.0,0,True,False,False,True,False
40,1965.0,2,2,2,4,3,2,3,3,1,4,3,1,4,3,50,24.0,0,True,True,False,True,False
60,3561.0,5,5,5,5,4,5,4,4,4,4,4,5,4,5,50,0.0,1,False,False,False,False,False
49,313.5,3,4,0,1,1,0,1,1,1,5,5,2,3,1,50,0.0,0,True,False,True,True,False
35,457.5,3,4,3,3,1,3,1,1,3,3,4,4,5,1,55,2.0,0,True,False,True,False,True
51,370.5,2,1,2,3,1,2,1,1,4,1,3,1,2,1,66,6.0,0,False,True,False,True,False
51,507.0,3,4,3,4,2,3,2,2,3,4,3,1,3,2,50,0.0,0,True,True,False,True,False
42,4800.0,1,1,1,1,5,5,5,5,4,5,2,2,1,5,50,0.0,1,True,False,False,False,False
55,2052.0,3,4,2,4,3,2,3,3,4,2,3,3,4,3,50,0.0,0,True,False,True,True,False
46,2998.5,4,5,4,4,5,5,5,5,4,4,4,3,4,5,50,4.0,1,True,False,False,False,False
40,1020.0,0,5,0,2,1,0,1,1,3,1,4,5,5,1,50,0.0,1,True,False,False,False,True
57,805.5,2,2,2,2,1,5,3,5,5,5,5,4,5,3,50,0.0,1,True,False,False,False,False
60,432.0,5,1,1,1,1,2,3,5,5,5,5,1,5,3,79,40.0,1,False,False,False,True,False
74,958.5,2,1,2,3,4,3,3,3,3,2,3,2,3,1,50,11.0,0,True,False,True,False,False
49,301.5,3,5,3,3,2,3,5,2,5,2,1,3,1,2,53,8.0,0,True,False,True,True,False
37,319.5,3,5,3,4,3,3,1,3,1,5,1,3,2,3,50,17.0,0,False,False,True,True,False
36,1644.0,2,2,2,4,2,2,3,2,3,1,3,2,4,2,50,0.0,0,True,False,True,True,False
41,2520.0,3,1,1,1,3,3,3,3,1,2,4,2,3,3,77,10.0,0,True,False,False,False,False
52,3601.5,2,2,2,2,5,3,1,4,4,4,4,1,4,5,144,86.0,1,True,False,False,False,False
53,4119.0,2,2,2,2,2,5,2,4,4,4,4,1,4,5,50,0.0,1,True,False,False,False,False
32,133.5,3,4,3,1,5,3,3,5,3,4,5,5,5,5,50,0.0,0,False,False,True,True,False
30,288.0,2,4,2,3,5,2,5,5,5,4,5,5,5,5,55,8.0,0,True,False,True,False,True
68,606.0,3,3,3,4,4,4,4,5,5,3,5,1,5,2,50,0.0,0,False,False,True,True,False
54,819.0,4,4,4,4,2,4,2,2,3,5,5,3,4,2,143,88.0,0,True,True,False,False,False
55,3600.0,4,3,4,4,2,4,5,5,5,5,5,3,5,3,50,0.0,1,True,False,False,False,False
43,898.5,2,2,2,3,4,2,4,4,3,3,3,1,3,4,50,46.0,0,False,True,False,False,True
42,3513.0,3,3,3,4,2,3,2,2,4,3,5,3,5,2,60,0.0,0,False,True,False,False,False
56,4569.0,5,5,5,5,3,5,5,4,4,4,4,4,4,5,50,0.0,1,False,False,False,False,False
22,774.0,2,4,2,3,5,2,5,5,5,4,5,5,4,5,50,0.0,0,False,False,True,True,False
63,1138.5,3,3,3,2,2,3,2,2,4,2,5,4,5,2,52,1.0,0,True,True,False,False,False
28,2100.0,2,1,1,1,2,1,2,2,4,3,3,3,4,2,50,0.0,0,True,False,False,True,False
63,736.5,3,3,3,3,4,4,4,4,4,4,4,3,4,5,50,0.0,1,False,False,False,False,False
64,201.0,3,3,3,3,5,3,3,4,4,3,4,1,4,4,58,3.0,0,False,False,True,True,False
41,1350.0,5,5,5,3,1,5,1,1,4,3,5,5,5,1,55,0.0,1,True,True,False,False,False
37,5472.0,2,2,2,2,3,3,3,3,2,4,3,5,3,3,50,0.0,1,True,False,False,False,False
68,5653.5,3,1,5,1,1,3,1,2,4,3,4,1,2,1,230,178.0,0,False,False,False,False,False
58,844.5,4,4,4,4,3,5,5,4,4,4,4,5,4,5,50,0.0,1,False,False,False,True,False
71,4696.5,1,1,1,1,2,5,4,4,4,4,5,4,4,5,50,0.0,1,True,False,False,False,False
84,946.5,3,5,2,5,3,3,4,5,5,2,5,1,5,1,50,0.0,0,False,False,True,True,False
74,526.5,4,3,4,4,1,4,1,1,1,5,4,2,4,1,50,0.0,1,True,False,True,True,False
71,1783.5,5,5,3,5,5,4,5,2,2,2,2,4,2,3,59,0.0,1,False,False,False,False,False
26,843.0,5,5,5,5,3,5,3,3,4,4,5,1,2,3,50,0.0,1,True,False,True,True,False
40,2811.0,4,3,3,3,4,4,3,4,3,1,4,5,1,4,136,78.0,1,False,False,False,True,False
44,237.0,4,0,4,1,2,4,2,2,1,5,2,2,2,2,50,0.0,1,False,True,False,True,False
63,142.5,5,3,3,3,1,2,1,5,5,5,5,1,5,2,50,0.0,1,False,False,False,True,False
57,399.0,1,1,1,1,4,3,4,4,4,4,4,2,4,1,50,0.0,1,False,False,False,False,False
30,673.5,1,4,1,2,3,1,4,3,1,3,5,4,5,3,50,0.0,0,True,True,False,True,False
64,2124.0,3,4,4,2,2,3,2,2,4,2,5,5,4,2,50,0.0,0,False,True,False,False,False
56,3582.0,2,2,2,2,5,5,4,4,4,4,4,5,4,5,79,18.0,1,True,False,False,False,False
58,2517.0,1,1,2,1,3,4,4,2,2,2,2,4,2,5,50,0.0,1,True,False,False,False,False
75,2958.0,5,5,2,5,4,3,5,5,5,5,5,5,5,3,50,0.0,1,True,False,False,False,False
57,505.5,4,1,4,3,3,3,3,3,3,4,1,2,3,2,50,0.0,1,False,False,True,True,False
23,379.5,3,3,3,1,4,3,4,4,5,5,2,4,3,4,50,0.0,0,False,False,True,True,False
57,318.0,5,3,3,3,5,3,5,5,5,5,5,5,5,2,132,72.0,1,False,False,False,True,False
33,513.0,1,1,1,3,3,1,3,3,2,1,4,1,3,3,82,41.0,0,True,True,False,False,True
62,5334.0,2,2,2,2,3,5,3,5,5,5,5,3,5,4,50,0.0,1,True,False,False,False,False
42,286.5,4,4,4,4,5,4,5,5,2,1,3,2,3,5,66,12.0,0,False,True,False,True,False
82,1039.5,3,1,3,1,5,1,2,1,1,3,1,1,1,4,150,91.0,0,False,False,True,False,True
53,961.5,5,5,5,3,2,5,2,2,5,5,4,3,5,2,50,0.0,1,True,True,False,False,False
35,706.5,4,5,4,4,3,4,3,3,4,3,4,5,4,3,50,0.0,0,False,True,False,True,False
75,5734.5,2,2,1,2,4,4,4,5,5,4,5,3,5,3,51,0.0,1,False,False,False,False,False
38,423.0,4,5,4,1,4,4,4,4,3,3,5,3,4,4,59,1.0,1,True,True,False,False,False
40,816.0,3,5,3,1,2,3,2,2,4,2,5,4,4,2,50,0.0,0,True,True,False,False,False
53,4432.5,3,3,3,3,3,5,5,4,4,4,4,3,4,3,50,0.0,1,False,False,False,False,False
55,4209.0,1,1,1,1,3,1,5,5,5,5,5,5,5,5,50,4.0,1,False,False,False,False,False
34,880.5,3,4,3,5,1,3,1,1,5,3,5,4,4,1,50,0.0,0,True,False,True,True,False
76,3109.5,3,3,3,3,4,5,4,4,4,4,4,4,4,5,56,0.0,1,False,False,False,False,False
59,1873.5,3,4,3,3,5,3,5,5,5,2,3,4,4,5,75,6.0,0,True,False,True,True,False
37,426.0,3,5,3,1,3,3,3,3,4,5,5,3,5,3,84,35.0,0,False,False,True,True,False
23,1419.0,2,2,2,2,3,2,3,3,1,5,3,4,3,3,52,0.0,0,False,True,False,True,False
60,5920.5,3,4,4,4,3,4,4,3,3,3,3,4,3,3,75,16.0,0,False,False,False,False,False
61,1342.5,4,5,4,1,1,4,1,1,2,1,3,3,5,1,90,25.0,1,True,False,True,True,False
69,2451.0,3,2,5,2,4,4,4,3,3,3,3,3,3,1,140,77.0,0,False,False,False,False,False
77,882.0,2,1,1,2,1,1,1,1,1,4,3,2,3,1,50,0.0,0,True,False,True,True,False
40,3799.5,5,5,5,5,2,2,2,2,5,1,2,1,3,2,50,0.0,1,False,False,False,False,False
47,961.5,3,4,3,2,2,3,2,2,4,5,4,5,4,2,50,0.0,0,False,False,True,True,False
80,871.5,4,4,4,2,4,4,4,1,1,4,1,4,1,5,51,3.0,0,False,False,True,True,False
55,334.5,2,2,2,4,2,2,2,2,4,4,4,3,5,2,50,0.0,0,True,True,False,False,False
45,489.0,0,0,0,5,2,0,2,2,4,1,3,4,5,2,50,0.0,1,False,False,False,False,True
82,898.5,3,1,3,2,1,1,2,3,3,3,3,2,3,1,50,0.0,0,False,False,True,True,False
66,3112.5,5,5,5,5,2,5,5,5,5,5,5,3,5,3,50,0.0,1,True,False,False,False,False
62,1446.0,5,5,4,5,5,4,5,5,5,5,5,4,5,3,51,3.0,1,False,False,False,False,False
53,898.5,1,4,4,4,1,1,1,1,2,3,3,3,3,1,58,0.0,0,False,False,False,True,False
69,4707.0,1,1,1,1,5,5,4,4,4,4,4,3,4,4,50,0.0,1,True,False,False,False,False
72,376.5,1,5,0,5,3,2,3,1,1,0,3,5,1,3,50,4.0,0,False,False,True,True,False
28,1678.5,1,5,1,3,2,1,2,2,3,4,4,5,5,2,50,0.0,0,True,False,True,True,False
35,505.5,4,0,4,3,4,4,4,4,3,5,4,4,5,4,50,0.0,1,False,True,False,True,False
60,1138.5,2,2,2,2,2,2,1,2,2,2,2,3,2,4,73,94.0,0,False,False,False,False,False
66,3516.0,2,2,2,2,3,4,5,3,3,3,3,3,3,3,50,0.0,1,False,False,False,False,False
40,444.0,0,0,0,3,2,0,2,2,4,4,4,5,5,2,50,0.0,1,True,True,False,False,False
54,1507.5,1,4,2,3,2,1,5,5,2,4,5,5,4,5,218,163.0,0,False,False,True,True,False
61,870.0,3,3,3,3,3,5,4,4,4,4,4,3,4,5,68,16.0,1,False,False,False,False,False
68,538.5,1,3,3,3,1,1,1,1,1,2,3,4,4,1,50,0.0,0,True,False,False,True,False
76,1825.5,0,4,0,1,5,5,5,4,4,0,4,4,4,4,50,0.0,1,False,False,True,True,False
76,576.0,4,5,5,5,3,3,2,4,4,4,4,3,4,5,146,102.0,1,False,False,False,False,True
31,3879.0,3,5,3,4,4,3,4,4,5,2,4,5,4,4,95,42.0,0,True,False,True,True,False
59,4354.5,2,1,1,1,2,3,3,2,2,2,2,3,2,1,50,1.0,0,False,False,False,False,False
32,4755.0,5,5,5,5,5,5,5,5,1,3,3,1,5,5,66,0.0,1,False,False,False,False,False
65,1914.0,2,2,2,2,4,2,3,2,2,2,2,1,2,1,85,49.0,0,False,False,False,True,False
55,1237.5,4,4,4,3,5,4,5,5,5,3,4,3,5,5,50,4.0,1,False,True,False,False,False
62,3306.0,5,5,5,5,4,4,4,2,2,2,2,4,2,3,56,0.0,1,True,False,False,False,False
95,5196.0,1,1,1,1,2,4,4,4,4,4,4,5,4,4,50,0.0,1,False,False,False,False,False
53,843.0,5,3,5,3,4,5,4,4,1,1,3,4,3,4,50,0.0,1,False,False,True,True,False
46,606.0,5,1,5,3,3,5,3,3,4,2,4,4,4,3,50,0.0,1,True,False,True,True,False
74,1798.5,4,2,2,2,5,4,4,4,4,4,4,3,4,1,50,15.0,0,True,False,False,False,False
37,2952.0,4,4,4,4,4,4,4,4,1,2,3,4,4,4,50,0.0,0,False,False,False,False,False
68,3840.0,5,5,5,5,5,4,5,3,3,3,3,3,3,3,50,3.0,1,False,False,False,False,False
71,462.0,4,2,2,2,5,3,4,4,4,4,4,5,4,2,50,0.0,1,False,False,False,False,True
63,543.0,4,4,5,3,2,4,5,3,3,5,3,5,3,4,50,0.0,0,False,False,True,True,False
53,2343.0,3,3,3,5,2,3,2,2,5,2,5,3,4,2,52,25.0,0,True,True,False,False,False
79,193.5,1,0,1,2,1,1,1,1,3,2,5,4,4,1,63,9.0,0,True,False,True,True,False
82,886.5,2,4,2,3,5,2,3,5,4,4,4,3,5,5,50,0.0,0,True,False,True,True,False
77,5538.0,2,2,4,2,3,4,2,4,4,4,4,1,4,2,50,0.0,1,False,False,False,False,False
72,2788.5,1,1,1,1,2,5,5,4,4,4,4,5,4,5,66,15.0,1,True,False,False,False,False
42,1479.0,2,1,1,3,1,2,1,1,1,5,1,1,3,1,74,32.0,0,False,True,False,True,False
40,1536.0,1,1,1,3,5,1,5,5,1,4,4,1,4,5,63,11.0,0,False,True,False,True,False
67,1378.5,3,4,4,4,3,2,2,3,3,3,3,1,3,1,135,72.0,0,False,False,False,True,False
60,864.0,4,2,2,2,3,1,3,4,4,4,4,5,4,2,50,0.0,1,False,False,False,False,True
38,634.5,3,3,3,3,1,3,1,1,2,2,3,3,3,1,56,13.0,0,False,True,False,True,False
70,2124.0,5,2,2,2,5,5,5,5,4,3,5,2,5,5,51,0.0,1,True,False,False,True,False
68,2196.0,3,2,2,2,5,4,4,3,3,3,3,3,3,3,50,0.0,0,True,False,False,False,False
24,1072.5,4,4,4,3,1,4,1,1,5,4,4,4,4,1,61,4.0,1,False,False,True,True,False
48,811.5,2,2,3,2,4,4,4,4,5,2,5,3,4,4,136,85.0,1,True,False,False,False,False
79,439.5,3,3,3,3,3,3,3,3,4,4,4,4,4,3,53,0.0,0,True,True,False,False,False
23,3138.0,2,3,3,3,4,2,4,4,4,3,3,3,3,4,76,23.0,0,False,True,False,True,False
49,1579.5,4,4,4,1,3,4,3,3,3,2,5,3,5,3,84,15.0,0,True,False,True,True,False
74,3781.5,1,1,1,3,1,3,5,2,3,3,2,5,2,5,50,2.0,0,True,False,True,True,False
28,3816.0,3,1,3,3,3,3,3,3,4,3,4,3,3,3,50,0.0,0,False,False,False,False,False
59,237.0,4,4,4,2,2,4,2,2,2,5,1,4,5,2,50,0.0,0,True,False,True,True,False
69,2611.5,1,1,1,1,4,4,5,4,4,4,4,4,4,3,50,0.0,1,True,False,False,False,False
51,3976.5,4,4,4,4,3,4,4,5,5,5,5,5,5,3,60,0.0,1,True,False,False,False,False
26,1140.0,3,5,3,1,5,3,5,5,3,5,5,4,4,5,152,88.0,0,False,False,True,True,False
47,1554.0,1,5,1,2,5,1,5,5,5,5,5,5,4,5,62,9.0,0,False,False,True,True,False
57,3879.0,1,3,3,3,1,1,1,3,5,2,3,1,4,1,50,0.0,0,True,False,False,True,False
42,1621.5,1,1,1,4,2,1,2,2,1,5,3,3,1,2,54,0.0,0,False,True,False,True,False
48,969.0,2,4,2,3,3,2,3,3,4,1,3,2,5,3,51,0.0,0,True,False,True,True,False
43,462.0,1,3,3,3,1,1,1,1,3,3,3,3,3,1,50,0.0,0,False,False,False,False,False
59,340.5,4,5,0,1,2,0,2,2,3,4,4,5,5,2,50,0.0,1,True,False,True,True,False
64,2631.0,3,3,3,3,4,3,5,4,1,4,3,4,4,4,83,28.0,0,True,True,False,True,False
74,3264.0,2,3,2,2,3,5,2,5,5,5,5,4,5,4,55,0.0,1,True,False,False,False,False
35,406.5,0,0,0,1,1,0,1,1,5,4,4,4,4,1,50,0.0,1,True,True,False,False,False
61,2283.0,3,2,3,3,3,5,4,4,4,4,4,3,4,5,50,0.0,1,False,False,False,False,False
51,487.5,5,5,5,5,5,5,5,5,1,5,3,1,3,5,50,0.0,1,True,False,False,True,False
77,4825.5,2,2,2,2,5,4,4,4,4,4,4,4,4,5,69,16.0,1,False,False,False,False,False
74,2236.5,3,3,3,3,2,4,4,3,3,2,3,4,3,3,65,14.0,1,True,False,False,False,False
44,496.5,3,4,3,4,3,3,3,3,5,4,2,2,4,3,50,0.0,0,False,False,True,True,False
56,556.5,2,2,2,1,1,2,1,1,4,4,2,1,1,1,85,30.0,0,False,True,False,False,False
22,1090.5,1,5,1,3,4,1,4,4,4,1,1,5,4,4,50,0.0,0,True,False,True,True,False
80,1873.5,3,5,3,2,4,4,4,3,3,3,3,4,3,5,90,44.0,0,False,False,True,False,False
